sample_id,longitude,latitude
K0024A2,-118.567312,34.083974
K0024B2,-118.570642,34.084767
K0024C1,-118.551882,34.055978
K0026A1,-117.229718,32.853963
K0026B1,-117.23275,32.849619
K0026C1,-117.234297,32.846362
K0026C2,-117.234766,32.845885
K0028C2,-117.249738,33.148582
K0029A1,-121.7707,36.681594
K0029A2,-121.770355,36.681996
K0029B1,-121.770379,36.682264
K0029B2,-121.770414,36.682249
K0029C1,-121.770844,36.682296
K0029C2,-121.771675,36.681792
K0030A1,-122.272711,38.115769
K0030B1,-122.290348,38.196582
K0030C1,-122.166876,38.355488
K0033A1,-119.736033,34.446376
K0033A2,-119.734561,34.447059
K0033B1,-119.734514,34.450781
K0033B2,-119.734397,34.450654
K0035A1,-121.549057,39.594924
K0035A2,-121.549181,39.595277
K0035B1,-121.554588,39.597092
K0035B2,-121.553972,39.597385
K0035C1,-121.55379,39.593574
K0035C2,-121.554084,39.59366
K0051A1,-122.067,36.95194
K0051A2,-122.068,36.94917
K0051B1,-122.067,36.94972
K0051C1,-122.066,36.951
K0051C2,-122.066,36.951
K0052C2,-121.694,36.623
K0055A1,-121.49,38.16
K0055A2,-121.49,38.16
K0055B1,-121.49,38.16
K0055B2,-121.49,38.16
K0055C1,-121.49,38.16
K0055C2,-121.49,38.16
K0056B1,-117.848428,33.658987
K0056C1,-117.847153,33.656143
K0058A1,-122.056516,37.004096
K0058A2,-122.056445,37.004024
K0058B1,-122.068859,37.004935
K0058B2,-122.066355,37.009916
K0058C1,-122.066105,37.009537
K0058C2,-122.068542,37.004618
K0059A1,-121.398553,36.074829
K0059A2,-121.39782,36.075678
K0059B2,-121.393265,36.072166
K0059C1,-121.389241,36.066657
K0059C2,-121.389111,36.066434
K0060A2,-117.844037,33.667416
K0060B1,-117.848428,33.658987
K0060B2,-117.846388,33.657759
K0062A1,-117.254266,32.759258
K0062C1,-117.25379,32.781087
K0063B2,-117.228152,32.794706
K0063C2,-117.227934,32.795369
K0065A2,-118.666428,34.099472
K0065B1,-118.658957,34.103507
K0065B2,-118.655434,34.091432
K0065C2,-118.655482,34.09591
K0068A1,-118.587157,34.094038
K0068A2,-118.585913,34.091774
K0068C2,-118.587096,34.094999
K0071A2,-120.02608,34.73905
K0071B1,-120.026449,34.738989
K0071C1,-120.026697,34.738156
K0072A2,-120.027179,34.738729
K0072B1,-120.026401,34.73978
K0072C1,-120.025232,34.740312
K0073A2,-120.024753,34.738782
K0074B1,-120.048352,34.712557
K0075A1,-120.027295,34.739812
K0075B1,-120.062993,34.724565
K0075B2,-119.951107,34.569463
K0076B1,-117.257244,32.928249
K0076C1,-117.259451,32.925432
K0078A2,-118.491583,34.754554
K0078B2,-118.402445,34.737076
K0078C2,-118.412936,34.721075
K0079A2,-118.399518,34.738462
K0079B2,-118.498061,34.759912
K0079C2,-118.493718,34.762725
K0088A1,-116.77804,33.808267
K0088A2,-116.775237,33.810017
K0088B1,-116.77804,33.808267
K0088B2,-116.777702,33.808472
K0088C1,-116.776631,33.807386
K0088C2,-116.77632,33.807402
K0090B1,-121.75406,36.665025
K0090B2,-121.75796,36.664547
K0090C2,-121.753023,36.660534
K0094A1,-122.143082,38.47699
K0094A2,-122.142693,38.476967
K0094B1,-122.149211,38.483448
K0094B2,-122.151546,38.48276
K0094C1,-122.14892,38.483556
K0094C2,-122.15109,38.482875
K0095A1,-121.556993,36.383996
K0095A2,-121.556578,36.383963
K0095B1,-121.545537,36.376128
K0095B2,-121.545715,36.375937
K0095C1,-121.562492,36.36418
K0095C2,-121.562504,36.364191
K0097A1,-119.096944,36.855835
K0097A2,-119.097225,36.856019
